# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403638133.39510 -1.309416 0.132938 1.816895 0.569701 -0.532513 0.546722 0.304903 0.0014520097 0.0000023020 0.0000037456 0.0014528489 0.0000047416 0.0014578046 0.1141731758 0.0000775312 0.0106509585 0.1152405917 -0.0010081317 0.0045378566
1403638133.44510 -1.429206 0.141470 1.883551 0.568024 -0.539409 0.538710 0.310124 0.0015176888 0.0000022812 0.0000038576 0.0015182997 0.0000048392 0.0015239515 0.1293360974 0.0000915359 0.0125517918 0.1306451973 -0.0011554534 0.0048839407
1403638133.49510 -1.554763 0.151370 1.952826 0.562783 -0.547613 0.533534 0.314224 0.0015853580 0.0000022231 0.0000039151 0.0015856298 0.0000048955 0.0015920765 0.1461883010 0.0001091583 0.0147197868 0.1477788897 -0.0013337979 0.0052809627
1403638133.54510 -1.685907 0.162736 2.024206 0.555154 -0.557539 0.529896 0.316489 0.0016549889 0.0000021379 0.0000039113 0.0016547619 0.0000049140 0.0016621119 0.1648660515 0.0001312834 0.0171798849 0.1667818328 -0.0015490406 0.0057342359
1403638133.59313 -1.154780 0.685064 2.182457 0.616950 -0.536086 0.476477 0.323967 0.0006874436 -0.0002227731 0.0001681351 0.0004850988 0.0000604948 0.0006109484 0.1420101017 0.0161584695 0.0140948757 0.0716260014 0.0011736701 0.0054166385
1403638133.64599 -1.653227 1.029489 2.164055 0.602550 -0.547848 0.485567 0.317837 0.0004007585 -0.0000686936 -0.0001106630 0.0000515918 0.0000155809 0.0000730825 0.0097599537 0.0016105186 -0.0004469330 0.0105949768 0.0001468205 0.0038205846
1403638133.69602 -1.767957 1.050922 2.240232 0.603521 -0.554320 0.480385 0.312605 0.0003842808 -0.0000721359 -0.0001124145 0.0000467960 0.0000221676 0.0000672800 0.0090556002 0.0012446604 -0.0003101065 0.0101246390 0.0000810750 0.0039320392
1403638133.74595 -1.842966 1.039998 2.318303 0.603484 -0.560612 0.472321 0.313742 0.0003809292 -0.0000711522 -0.0001188653 0.0000462761 0.0000235451 0.0000696515 0.0094137094 0.0013941748 -0.0003023630 0.0107696976 0.0000442711 0.0040462905
1403638133.79583 -1.906043 1.048424 2.394576 0.603013 -0.565243 0.464189 0.318441 0.0003797250 -0.0000680833 -0.0001239894 0.0000454223 0.0000236233 0.0000714085 0.0096486038 0.0014730480 -0.0002972275 0.0114439786 0.0000386539 0.0041620425
1403638133.84604 -1.976748 1.077481 2.470559 0.603895 -0.568411 0.455153 0.324122 0.0003790930 -0.0000626462 -0.0001291798 0.0000437244 0.0000228655 0.0000738404 0.0098915452 0.0015209788 -0.0003023311 0.0120833245 0.0000561849 0.0042854216
1403638133.89628 -2.032111 1.106082 2.547838 0.604893 -0.571361 0.447785 0.327323 0.0003779164 -0.0000592322 -0.0001334529 0.0000425352 0.0000225601 0.0000758859 0.0101495741 0.0015838981 -0.0003029226 0.0126535262 0.0000893494 0.0044178735
1403638133.94662 -2.048720 1.124787 2.624250 0.604948 -0.573539 0.442370 0.330756 0.0003766551 -0.0000557833 -0.0001358114 0.0000404671 0.0000220849 0.0000766086 0.0103613579 0.0015140133 -0.0002960869 0.0128757831 0.0001249714 0.0045521590
1403638133.99614 -2.085618 0.957850 2.641798 0.608418 -0.573886 0.437650 0.330069 0.0003755963 -0.0000518183 -0.0001363876 0.0000367530 0.0000202649 0.0000752515 0.0105045462 0.0014397285 -0.0003134473 0.0122325486 0.0000564403 0.0046376702
1403638134.04617 -2.069776 0.885995 2.705022 0.612360 -0.573308 0.433240 0.329601 0.0003728919 -0.0000479520 -0.0001405730 0.0000329397 0.0000188785 0.0000785851 0.0104137950 0.0014532723 -0.0003203060 0.0115240011 0.0001443090 0.0047309183
1403638134.09632 -2.103223 0.835914 2.775975 0.619409 -0.570917 0.428345 0.326967 0.0003701671 -0.0000426005 -0.0001447604 0.0000297712 0.0000171252 0.0000825990 0.0108402623 0.0014082174 -0.0003640047 0.0111146403 0.0001475148 0.0048537576
1403638134.14618 -2.127309 0.757590 2.858495 0.626989 -0.567899 0.423248 0.324402 0.0003683960 -0.0000380619 -0.0001479161 0.0000270607 0.0000150556 0.0000857622 0.0113395099 0.0015521479 -0.0003836345 0.0107748657 0.0001313448 0.0050027614
1403638134.19576 -2.000208 0.293594 2.744724 0.635187 -0.563665 0.420478 0.319403 0.0003583943 -0.0000324859 -0.0001508747 0.0000177526 0.0000126359 0.0000835414 0.0094839487 0.0018811214 -0.0005413837 0.0075624641 -0.0001241150 0.0048458605
1403638134.24523 -1.911857 0.255288 2.797338 0.630470 -0.564410 0.423688 0.323169 0.0003571051 -0.0000347146 -0.0001516602 0.0000170394 0.0000128793 0.0000825953 0.0084843595 0.0015873126 -0.0004807652 0.0069179045 -0.0001546745 0.0048256939
1403638134.29510 -1.878334 0.219049 2.843430 0.625972 -0.565681 0.427249 0.324996 0.0003584711 -0.0000361388 -0.0001501452 0.0000168388 0.0000130989 0.0000796892 0.0084216419 0.0016137210 -0.0005040048 0.0064908363 -0.0002425189 0.0048624735
1403638134.34503 -1.858177 0.229925 2.879467 0.624081 -0.568257 0.428588 0.322364 0.0003543333 -0.0000374667 -0.0001519276 0.0000163798 0.0000145131 0.0000801086 0.0082955180 0.0014618117 -0.0005582981 0.0059824946 -0.0003078543 0.0048722717
1403638134.39506 -1.858246 0.207752 2.925757 0.624867 -0.570316 0.428755 0.316938 0.0003504159 -0.0000403039 -0.0001540009 0.0000167939 0.0000162289 0.0000815771 0.0082486589 0.0014854228 -0.0006191720 0.0058290438 -0.0003221352 0.0049385942
1403638134.44507 -1.861539 0.182969 2.972090 0.625771 -0.572315 0.428252 0.312195 0.0003467255 -0.0000421566 -0.0001562860 0.0000170459 0.0000177245 0.0000836699 0.0082924743 0.0014595471 -0.0006391184 0.0057171891 -0.0003263893 0.0050008532
1403638134.49508 -1.855665 0.172977 3.011829 0.624162 -0.574147 0.429779 0.309946 0.0003449615 -0.0000444977 -0.0001567311 0.0000174226 0.0000191377 0.0000838730 0.0083435620 0.0014275450 -0.0006420280 0.0056198696 -0.0003226990 0.0050504685
1403638134.54506 -1.812210 0.177290 3.039902 0.620898 -0.577094 0.431767 0.308262 0.0003420358 -0.0000476356 -0.0001564863 0.0000180280 0.0000208935 0.0000834070 0.0081019045 0.0013751364 -0.0006365699 0.0054981117 -0.0003059080 0.0050816044
1403638134.59505 -1.751862 0.191563 3.060547 0.618005 -0.578916 0.434940 0.306193 0.0003406084 -0.0000509089 -0.0001556749 0.0000187279 0.0000225966 0.0000823718 0.0080346589 0.0013228219 -0.0006245244 0.0053201955 -0.0002817622 0.0051028485
1403638134.64517 -1.682906 0.220190 3.071571 0.617556 -0.580433 0.434334 0.305083 0.0003381949 -0.0000513672 -0.0001566303 0.0000186110 0.0000233340 0.0000832544 0.0079896521 0.0012583655 -0.0006230802 0.0051112787 -0.0002470703 0.0051141193
1403638134.69528 -1.596357 0.260519 3.070191 0.618993 -0.581141 0.431780 0.304449 0.0003352495 -0.0000500377 -0.0001584335 0.0000179314 0.0000233989 0.0000851173 0.0079150573 0.0011878209 -0.0006176979 0.0048877991 -0.0002009637 0.0051112772
1403638134.74543 -1.523704 0.296440 3.072694 0.621922 -0.581559 0.428630 0.302123 0.0003316172 -0.0000486696 -0.0001608389 0.0000173564 0.0000235177 0.0000878701 0.0078471415 0.0011357876 -0.0006398540 0.0046700884 -0.0001651975 0.0051200173
1403638134.79554 -1.445170 0.318057 3.041529 0.625672 -0.581183 0.423892 0.301789 0.0003276576 -0.0000456768 -0.0001636857 0.0000160595 0.0000228005 0.0000912762 0.0076885096 0.0011318940 -0.0007328878 0.0044834445 -0.0001143038 0.0050212672
1403638134.84544 -1.359008 0.382102 2.959643 0.627188 -0.580083 0.421149 0.304586 0.0003259548 -0.0000422105 -0.0001649775 0.0000145471 0.0000213555 0.0000926124 0.0074902532 0.0010486275 -0.0007858227 0.0042959928 -0.0000471765 0.0048486625
1403638134.89515 -1.306204 0.391584 2.961393 0.627459 -0.579199 0.420149 0.307081 0.0003279722 -0.0000403501 -0.0001637615 0.0000138521 0.0000201324 0.0000904925 0.0074921670 0.0010497519 -0.0008493757 0.0041580223 -0.0000448422 0.0048080515
1403638134.94492 -1.107850 0.393631 2.941226 0.623273 -0.580268 0.420725 0.312745 0.0003298916 -0.0000400030 -0.0001616720 0.0000134232 0.0000194924 0.0000875352 0.0072811951 0.0009804141 -0.0008618125 0.0040358789 -0.0000175263 0.0047045365
1403638134.99495 -1.011884 0.377766 2.961378 0.620990 -0.580755 0.421293 0.315608 0.0003319269 -0.0000394091 -0.0001601542 0.0000130669 0.0000188038 0.0000852814 0.0072871700 0.0009142850 -0.0009122944 0.0038184638 -0.0000015010 0.0046553482
1403638135.04508 -0.809645 0.371727 2.993968 0.621696 -0.581564 0.416303 0.319326 0.0003305359 -0.0000362288 -0.0001611859 0.0000120316 0.0000172490 0.0000863703 0.0070589859 0.0008815540 -0.0009692834 0.0037100600 0.0000414244 0.0045786761
1403638135.09523 -0.742676 0.367494 2.959934 0.625320 -0.579943 0.412532 0.320092 0.0003283471 -0.0000318223 -0.0001638031 0.0000109429 0.0000153878 0.0000894535 0.0071717551 0.0008323159 -0.0009771321 0.0035514986 0.0000530782 0.0045340300
1403638135.14528 -0.704077 0.345953 2.961998 0.629539 -0.577998 0.409528 0.319197 0.0003273206 -0.0000294186 -0.0001651840 0.0000105199 0.0000143138 0.0000910657 0.0073063025 0.0008455160 -0.0010116153 0.0035255687 0.0000361118 0.0045753604
1403638135.19527 -0.672885 0.317638 2.985342 0.632763 -0.577031 0.406202 0.318820 0.0003258736 -0.0000272434 -0.0001667106 0.0000102415 0.0000133959 0.0000929585 0.0074070683 0.0008646803 -0.0010384233 0.0035259630 0.0000077665 0.0046409460
1403638135.24525 -0.630816 0.291252 3.010539 0.635234 -0.577093 0.402368 0.318655 0.0003237106 -0.0000252538 -0.0001685783 0.0000100263 0.0000126438 0.0000954590 0.0074909156 0.0008823993 -0.0010433211 0.0035349542 -0.0000211192 0.0047098387
1403638135.29514 -0.583275 0.269873 3.025309 0.635226 -0.576719 0.401113 0.320924 0.0003241078 -0.0000233938 -0.0001686321 0.0000097949 0.0000116949 0.0000953740 0.0075790772 0.0008883768 -0.0010291325 0.0035313588 -0.0000436780 0.0047659431
1403638135.34500 -0.549900 0.239325 3.042809 0.633272 -0.576980 0.401540 0.323770 0.0003259501 -0.0000228732 -0.0001675782 0.0000097740 0.0000113421 0.0000937069 0.0076833946 0.0009065434 -0.0010230094 0.0035351612 -0.0000765187 0.0048228985
1403638135.39492 -0.506934 0.210687 3.059911 0.631641 -0.577621 0.400244 0.327397 0.0003270885 -0.0000213458 -0.0001670705 0.0000096117 0.0000105596 0.0000928180 0.0077655737 0.0009222117 -0.0010028780 0.0035493893 -0.0001102198 0.0048778321
1403638135.44490 -0.485979 0.178402 3.092157 0.632450 -0.578075 0.395209 0.331128 0.0003267135 -0.0000173150 -0.0001679671 0.0000092339 0.0000085841 0.0000938418 0.0078919045 0.0009427855 -0.0010070946 0.0035639470 -0.0001484819 0.0049545408
1403638135.49489 -0.465948 0.142773 3.128111 0.634131 -0.578749 0.389784 0.333161 0.0003249154 -0.0000137992 -0.0001696379 0.0000090110 0.0000068974 0.0000961083 0.0080044495 0.0009708024 -0.0010056461 0.0035956145 -0.0001932219 0.0050362069
1403638135.54489 -0.462984 0.102025 3.174910 0.636281 -0.580755 0.384103 0.332168 0.0003214960 -0.0000118245 -0.0001722958 0.0000089985 0.0000060437 0.0001000017 0.0081839988 0.0010102207 -0.0010195244 0.0036334681 -0.0002440602 0.0051319553
1403638135.59489 -0.477517 0.053780 3.235327 0.638595 -0.581603 0.377311 0.334022 0.0003191496 -0.0000078179 -0.0001743679 0.0000089460 0.0000039522 0.0001030574 0.0084146468 0.0010673039 -0.0010505116 0.0036888521 -0.0003068681 0.0052469167
1403638135.64489 -0.493438 0.001933 3.297352 0.636842 -0.583033 0.375101 0.337349 0.0003200066 -0.0000063139 -0.0001742648 0.0000090780 0.0000031268 0.0001027353 0.0086519377 0.0011316057 -0.0010791163 0.0037599787 -0.0003773571 0.0053654268
1403638135.69489 -0.510002 -0.052117 3.359258 0.630935 -0.586973 0.376205 0.340372 0.0003225518 -0.0000080397 -0.0001729640 0.0000093608 0.0000040619 0.0001005845 0.0088982885 0.0011981969 -0.0011071798 0.0038382703 -0.0004537503 0.0054878539
1403638135.74489 -0.525369 -0.107955 3.420650 0.624546 -0.591706 0.378718 0.341172 0.0003245976 -0.0000117309 -0.0001718162 0.0000097961 0.0000060418 0.0000987913 0.0091543544 0.0012666382 -0.0011348220 0.0039232556 -0.0005361754 0.0056142903
1403638135.79489 -0.539152 -0.165081 3.481230 0.621720 -0.595806 0.378382 0.339568 0.0003237021 -0.0000142053 -0.0001726090 0.0000102079 0.0000074644 0.0000999739 0.0094208192 0.0013370329 -0.0011621010 0.0040152265 -0.0006248752 0.0057449289
1403638135.84489 -0.551173 -0.224514 3.542848 0.623938 -0.596158 0.373879 0.339871 0.0003217391 -0.0000117750 -0.0001744361 0.0000102204 0.0000062587 0.0001026343 0.0096978435 0.0014092749 -0.0011887675 0.0041148514 -0.0007202986 0.0058796061
1403638135.89489 -0.562025 -0.285974 3.606040 0.629739 -0.595162 0.364344 0.341267 0.0003174972 -0.0000054894 -0.0001777110 0.0000100916 0.0000028813 0.0001077246 0.0099861954 0.0014837403 -0.0012147238 0.0042232347 -0.0008228838 0.0060185075
1403638135.94489 -0.571267 -0.350441 3.672050 0.635459 -0.594524 0.355275 0.341340 0.0003125553 -0.0000001908 -0.0001809854 0.0000102155 -0.0000001484 0.0001132721 0.0102861692 0.0015601948 -0.0012397006 0.0043410085 -0.0009330285 0.0061614245
1403638135.99489 -0.580420 -0.419013 3.741691 0.637827 -0.594481 0.348861 0.343606 0.0003103258 0.0000039622 -0.0001825142 0.0000104953 -0.0000026279 0.0001159604 0.0105981393 0.0016387409 -0.0012632516 0.0044701551 -0.0010512222 0.0063082127
1403638136.04489 -0.602642 -0.490819 3.808075 0.636323 -0.594012 0.346864 0.349183 0.0003120976 0.0000071989 -0.0001815882 0.0000108006 -0.0000044427 0.0001141644 0.0107249815 0.0016731678 -0.0012441637 0.0045990347 -0.0011651116 0.0064429792
1403638136.09487 -0.639431 -0.571246 3.879655 0.630731 -0.594676 0.349792 0.355225 0.0003173155 0.0000072292 -0.0001787352 0.0000109901 -0.0000042262 0.0001089451 0.0107990351 0.0016982443 -0.0012337862 0.0047472651 -0.0012887888 0.0065846994
1403638136.14484 -0.659650 -0.647478 3.941003 0.622837 -0.597545 0.355125 0.359027 0.0003224282 0.0000038135 -0.0001758946 0.0000110555 -0.0000021131 0.0001039806 0.0108789999 0.0017209465 -0.0012381184 0.0049182628 -0.0014229167 0.0067260906
1403638136.19483 -0.682320 -0.730598 4.005888 0.615951 -0.600031 0.360705 0.361191 0.0003271893 -0.0000001790 -0.0001732029 0.0000112283 0.0000001449 0.0000995499 0.0110811560 0.0017728305 -0.0012753420 0.0050973150 -0.0015720875 0.0068799537
1403638136.24484 -0.707395 -0.816215 4.066342 0.612900 -0.602208 0.360901 0.362558 0.0003282028 -0.0000011267 -0.0001728427 0.0000114545 0.0000006874 0.0000988140 0.0112771986 0.0018215130 -0.0013137069 0.0052932302 -0.0017303946 0.0070370177
1403638136.29490 -0.657757 -0.856437 4.083428 0.611429 -0.602739 0.357017 0.367966 0.0003281842 0.0000018081 -0.0001729920 0.0000115803 -0.0000008212 0.0000988348 0.0113510832 0.0018120087 -0.0013073539 0.0054726513 -0.0018652165 0.0071506525
1403638136.34495 -0.660887 -0.923998 4.116679 0.611928 -0.603271 0.351469 0.371589 0.0003274138 0.0000062467 -0.0001735993 0.0000118538 -0.0000031463 0.0000996319 0.0114770323 0.0018380740 -0.0013354201 0.0056017590 -0.0020108087 0.0073024111
1403638136.39500 -0.665691 -1.001730 4.153445 0.612977 -0.604181 0.347061 0.372522 0.0003255160 0.0000085887 -0.0001749309 0.0000121410 -0.0000044163 0.0001015812 0.0116173652 0.0018587628 -0.0013536668 0.0057952803 -0.0021723331 0.0074610514
1403638136.44504 -0.677066 -1.086625 4.192766 0.614636 -0.604845 0.341962 0.373426 0.0003231279 0.0000114654 -0.0001764841 0.0000125096 -0.0000060413 0.0001039849 0.0117778044 0.0018808260 -0.0013692162 0.0060093953 -0.0023435720 0.0076222677
1403638136.49505 -0.678717 -1.178010 4.236854 0.614334 -0.607056 0.338754 0.373259 0.0003213075 0.0000120427 -0.0001777830 0.0000127495 -0.0000063873 0.0001059791 0.0119519693 0.0019020686 -0.0013839590 0.0062486776 -0.0025273454 0.0077886230
1403638136.54507 -0.681440 -1.245360 4.247692 0.610972 -0.612437 0.337997 0.370663 0.0003189615 0.0000092447 -0.0001795579 0.0000126922 -0.0000048322 0.0001086942 0.0121136945 0.0019211081 -0.0013969572 0.0064799766 -0.0026957755 0.0079250304
1403638136.59505 -0.653463 -1.334651 4.285374 0.607692 -0.616450 0.339804 0.367741 0.0003189028 0.0000049885 -0.0001800134 0.0000126665 -0.0000023358 0.0001091903 0.0123076255 0.0019464278 -0.0014120476 0.0067315107 -0.0028828252 0.0080872126
1403638136.64504 -0.615766 -1.426917 4.324344 0.605721 -0.618202 0.344496 0.363665 0.0003193773 0.0000001325 -0.0001800967 0.0000127658 0.0000004667 0.0001090702 0.0125366648 0.0019681197 -0.0014217939 0.0069819404 -0.0030766415 0.0082401605
1403638136.69506 -0.569607 -1.520697 4.363822 0.605421 -0.618516 0.349336 0.358981 0.0003195391 -0.0000042847 -0.0001802703 0.0000130066 0.0000029890 0.0001091526 0.0127875978 0.0019880785 -0.0014266809 0.0072425967 -0.0032770589 0.0083955000
1403638136.74509 -0.515446 -1.614547 4.401855 0.606677 -0.617911 0.353750 0.353538 0.0003189828 -0.0000082013 -0.0001807917 0.0000133364 0.0000052294 0.0001098728 0.0130524658 0.0020025346 -0.0014218501 0.0075120954 -0.0034805580 0.0085497879
1403638136.79511 -0.456295 -1.708870 4.436494 0.607318 -0.616635 0.361150 0.347126 0.0003195462 -0.0000138133 -0.0001804749 0.0000138909 0.0000083824 0.0001092529 0.0133414656 0.0020151069 -0.0014113179 0.0077890591 -0.0036841369 0.0086960086
1403638136.84510 -0.391816 -1.802225 4.464998 0.605375 -0.615829 0.371748 0.340704 0.0003217601 -0.0000216489 -0.0001787639 0.0000149128 0.0000126320 0.0001065239 0.0136535051 0.0020268341 -0.0013933648 0.0080763059 -0.0038850704 0.0088305215
1403638136.89505 -0.323060 -1.892718 4.483073 0.600398 -0.615633 0.384841 0.335285 0.0003255926 -0.0000311156 -0.0001753776 0.0000165884 0.0000174094 0.0001015212 0.0139872839 0.0020400770 -0.0013680685 0.0083725420 -0.0040799016 0.0089480258
1403638136.94502 -0.259616 -1.993676 4.506042 0.594627 -0.614953 0.397646 0.331856 0.0003303998 -0.0000397499 -0.0001708659 0.0000186019 0.0000212358 0.0000952811 0.0143480790 0.0020705359 -0.0013511913 0.0087019165 -0.0042954531 0.0090906483
1403638136.99494 -0.159735 -2.083149 4.512445 0.590334 -0.614547 0.406374 0.329693 0.0003334393 -0.0000456073 -0.0001676336 0.0000202180 0.0000236185 0.0000911199 0.0146764208 0.0021264851 -0.0013283158 0.0090052799 -0.0045094917 0.0092415211
1403638137.04497 -0.057074 -2.189801 4.522441 0.589733 -0.613760 0.411081 0.326383 0.0003342499 -0.0000492010 -0.0001664117 0.0000214736 0.0000251746 0.0000897075 0.0150336134 0.0022027126 -0.0013067893 0.0093857706 -0.0047722163 0.0094363050
1403638137.09503 0.022204 -2.290123 4.522948 0.593524 -0.611802 0.410058 0.324467 0.0003331884 -0.0000481342 -0.0001679027 0.0000213532 0.0000248989 0.0000915423 0.0154458561 0.0022632307 -0.0012704978 0.0097926709 -0.0050251358 0.0096046460
1403638137.14503 0.070078 -2.424339 4.559665 0.600432 -0.608975 0.405674 0.322583 0.0003314185 -0.0000445749 -0.0001706048 0.0000206044 0.0000235148 0.0000948664 0.0159159765 0.0023432085 -0.0012753818 0.0102765172 -0.0053314614 0.0098338196
1403638137.19503 0.117346 -2.561532 4.594338 0.608858 -0.606053 0.400160 0.319161 0.0003276039 -0.0000407313 -0.0001745596 0.0000198841 0.0000221636 0.0001002153 0.0164415219 0.0024068604 -0.0012674298 0.0108276485 -0.0056575178 0.0100554561
1403638137.24503 0.163278 -2.702098 4.628018 0.617977 -0.602972 0.393350 0.315919 0.0003230524 -0.0000361151 -0.0001788529 0.0000190664 0.0000203321 0.0001064085 0.0169934515 0.0024711807 -0.0012572467 0.0114167463 -0.0059975718 0.0102819393
1403638137.29503 0.208178 -2.846475 4.661681 0.625090 -0.600081 0.388580 0.313323 0.0003197230 -0.0000327752 -0.0001818865 0.0000186158 0.0000188725 0.0001110219 0.0175737286 0.0025359838 -0.0012445806 0.0120460447 -0.0063520943 0.0105130516
1403638137.34503 0.252270 -2.994526 4.694987 0.629856 -0.598896 0.385489 0.309844 0.0003164941 -0.0000315943 -0.0001843201 0.0000186620 0.0000185647 0.0001150471 0.0181836369 0.0026011001 -0.0012293907 0.0127171734 -0.0067213719 0.0107488813
1403638137.39503 0.295248 -3.146894 4.728810 0.634588 -0.597495 0.380352 0.309240 0.0003137883 -0.0000282685 -0.0001867252 0.0000182977 0.0000169312 0.0001189689 0.0188257123 0.0026659539 -0.0012113471 0.0134327750 -0.0071058863 0.0109891520
1403638137.44503 0.337939 -3.303752 4.763153 0.640130 -0.596511 0.372924 0.308765 0.0003096871 -0.0000238459 -0.0001898193 0.0000178318 0.0000146699 0.0001243965 0.0195019997 0.0027307772 -0.0011903438 0.0141947470 -0.0075057873 0.0112336771
1403638137.49503 0.380569 -3.465511 4.798541 0.646923 -0.594700 0.364014 0.308736 0.0003048537 -0.0000181888 -0.0001931154 0.0000173270 0.0000114820 0.0001306040 0.0202151447 0.0027954670 -0.0011661406 0.0150056729 -0.0079213925 0.0114821974
1403638137.54503 0.423398 -3.632154 4.834982 0.654591 -0.592651 0.353849 0.308328 0.0002987859 -0.0000120388 -0.0001965957 0.0000169842 0.0000077578 0.0001378922 0.0209672424 0.0028600158 -0.0011386340 0.0158679070 -0.0083529960 0.0117346891
1403638137.59503 0.465846 -3.804152 4.873460 0.661470 -0.589839 0.343725 0.310486 0.0002940391 -0.0000048976 -0.0001991512 0.0000168560 0.0000030193 0.0001436525 0.0217615035 0.0029236441 -0.0011074655 0.0167848618 -0.0088011709 0.0119909416
1403638137.64503 0.509463 -3.981035 4.913714 0.663929 -0.589187 0.338781 0.311904 0.0002920305 -0.0000016989 -0.0002003236 0.0000170795 0.0000008356 0.0001463306 0.0225994186 0.0029876027 -0.0010727399 0.0177586752 -0.0092660126 0.0122510117
1403638137.69503 0.553134 -4.162554 4.955779 0.663353 -0.589883 0.335968 0.314844 0.0002923082 0.0000003901 -0.0002006052 0.0000173732 -0.0000005438 0.0001466603 0.0234828315 0.0030506642 -0.0010343185 0.0187924050 -0.0097482057 0.0125152446
1403638137.74503 0.597495 -4.348734 4.999266 0.661458 -0.591223 0.335021 0.317314 0.0002935531 0.0000010947 -0.0002005278 0.0000176817 -0.0000009337 0.0001460163 0.0244140861 0.0031132377 -0.0009921603 0.0198884362 -0.0102477966 0.0127835447
1403638137.79503 0.642896 -4.539440 5.043354 0.660602 -0.593764 0.333011 0.316470 0.0002920790 0.0000006740 -0.0002014467 0.0000179850 -0.0000005613 0.0001481051 0.0253951519 0.0031755664 -0.0009462933 0.0210488884 -0.0107648060 0.0130559680
1403638137.84503 0.689362 -4.735112 5.088562 0.662842 -0.594272 0.328136 0.315924 0.0002888736 0.0000026377 -0.0002029217 0.0000183181 -0.0000019597 0.0001519038 0.0264296620 0.0032375521 -0.0008964709 0.0222772500 -0.0112995014 0.0133322091
1403638137.89503 0.737338 -4.935878 5.134487 0.667861 -0.593828 0.320250 0.314278 0.0002828983 0.0000060303 -0.0002051292 0.0000187425 -0.0000045740 0.0001583891 0.0275205965 0.0032996794 -0.0008426331 0.0235762037 -0.0118518547 0.0136120941
